11/09/14,G,Cyril Richardson,NOT INJURY RELATED,PROBABLE,,Buffalo Bills
10/26/14,LB,Brandon Spikes,RIBS,PROBABLE,,Buffalo Bills
10/26/14,DE,Mario Williams,THUMB,PROBABLE,,Buffalo Bills
10/19/14,LB,Garrison Sanborn,KNEE,PROBABLE,,Buffalo Bills
10/19/14,DT,Kyle Williams,KNEE,PROBABLE,,Buffalo Bills
10/12/14,LB,Nigel Bradham,KNEE,QUESTIONABLE,,Buffalo Bills
10/05/14,LB,Randell Johnson,KNEE,PROBABLE,,Buffalo Bills
09/28/14,QB,EJ Manuel,ABDOMEN,PROBABLE,,Buffalo Bills
09/28/14,LB,Keith Rivers,GROIN,DOUBTFUL,,Buffalo Bills
09/21/14,TE,Lee Smith,TOE,PROBABLE,,Buffalo Bills
07/17/14,LB,Kiko Alonso,Knee,NFI,NFI. Out for season,Buffalo Bills
01/10/15,WR,Philly Brown,SHOULDER,QUESTIONABLE,,Carolina Panthers
01/10/15,S,Thomas DeCoud,HAMSTRING,QUESTIONABLE,,Carolina Panthers
01/10/15,LB,A.J. Klein,ANKLE,QUESTIONABLE,Missed Divisional Playoff game at Seattle,Carolina Panthers
01/10/15,DT,Star Lotulelei,FOOT,OUT,Missed Divisional Playoff game at Seattle,Carolina Panthers
01/10/15,CB,Melvin White,ANKLE,QUESTIONABLE,,Carolina Panthers
01/03/15,QB,Derek Anderson,ILLNESS,PROBABLE,,Carolina Panthers
01/03/15,DE,Charles Johnson,NOT INJURY RELATED,PROBABLE,,Carolina Panthers
01/03/15,G,Fernando Velasco,NOT INJURY RELATED,PROBABLE,,Carolina Panthers
01/03/15,RB,DeAngelo Williams,HAND,PROBABLE,,Carolina Panthers
12/21/14,CB,Carrington Byndom,HAMSTRING,QUESTIONABLE,,Carolina Panthers
12/21/14,LB,Thomas Davis,KNEE,PROBABLE,,Carolina Panthers
12/21/14,S,Roman Harper,THIGH,PROBABLE,,Carolina Panthers
12/21/14,QB,Cam Newton,BACK,PROBABLE,,Carolina Panthers
12/21/14,G,Amini Silatolu,KNEE,QUESTIONABLE,,Carolina Panthers
12/14/14,C,Ryan Kalil,NOT INJURY RELATED,PROBABLE,,Carolina Panthers
12/14/14,TE,Greg Olsen,KNEE,PROBABLE,,Carolina Panthers
12/14/14,G,Chris Scott,FOOT,PROBABLE,,Carolina Panthers
12/14/14,RB,Jonathan Stewart,HIP,PROBABLE,,Carolina Panthers
12/07/14,DE,Mario Addison,FOOT,PROBABLE,,Carolina Panthers
12/07/14,DE,Kony Ealy,ILLNESS,PROBABLE,,Carolina Panthers
11/30/14,CB,Bene Benwikere,ANKLE,PROBABLE,,Carolina Panthers
11/30/14,RB,Mike Tolbert,KNEE,PROBABLE,,Carolina Panthers
11/18/14,T,Nate Chandler,TORN RIGHT MENISCUS,&nbsp;,,Carolina Panthers
11/16/14,WR,Jerricho Cotchery,HAMSTRING,PROBABLE,,Carolina Panthers
11/16/14,DT,Kawann Short,ANKLE,PROBABLE,,Carolina Panthers
11/16/14,G,Trai Turner,ANKLE,PROBABLE,,Carolina Panthers
11/16/14,TE,Brandon Williams,HIP,QUESTIONABLE,,Carolina Panthers
11/10/14,DT,Dwan Edwards,KNEE,PROBABLE,,Carolina Panthers
10/30/14,LB,Jason Williams,HIP,PROBABLE,,Carolina Panthers
10/26/14,RB,Chris Ogbonnaya,GROIN,QUESTIONABLE,,Carolina Panthers
10/19/14,WR,Kelvin Benjamin,CONCUSSION,QUESTIONABLE,,Carolina Panthers
10/19/14,DT,Colin Cole,NOT INJURY RELATED,PROBABLE,,Carolina Panthers
10/19/14,CB,Josh Norman,CONCUSSION,PROBABLE,,Carolina Panthers
10/19/14,RB,Darrin Reaves,CALF,QUESTIONABLE,,Carolina Panthers
10/05/14,TE,Ed Dickson,HIP,QUESTIONABLE,,Carolina Panthers
09/28/14,CB,Charles Godfrey,ANKLE,PROBABLE,,Carolina Panthers
09/28/14,T,Garry Williams,BACK,DOUBTFUL,,Carolina Panthers
09/21/14,WR,Jason Avant,THIGH,QUESTIONABLE,,Carolina Panthers
09/14/14,DE,Greg Hardy,NOT INJURY RELATED,PROBABLE,,Carolina Panthers
12/28/14,DE,Jared Allen,RIBS,QUESTIONABLE,,Chicago Bears
12/28/14,DE,David Bass,KNEE,PROBABLE,,Chicago Bears
12/28/14,QB,Jimmy Clausen,CONCUSSION,OUT,Missed Week 17 at Minnesota,Chicago Bears
12/28/14,S,Chris Conte,BACK,OUT,Missed Week 17 at Minnesota,Chicago Bears
12/28/14,DT,Ego Ferguson,ANKLE,PROBABLE,,Chicago Bears
12/28/14,K,Robbie Gould,RIGHT QUADRICEPS,OUT,Missed Week 17 at Minnesota,Chicago Bears
12/28/14,G,Kyle Long,HIP,PROBABLE,,Chicago Bears
12/28/14,CB,Al Louis-Jean,HAMSTRING,QUESTIONABLE,Missed Week 17 at Minnesota,Chicago Bears
12/28/14,DT,Jeremiah Ratliff,KNEE,QUESTIONABLE,,Chicago Bears
12/28/14,WR,Marquess Wilson,KNEE,PROBABLE,,Chicago Bears
12/21/14,CB,Kyle Fuller,HAND,PROBABLE,,Chicago Bears
12/21/14,CB,Tim Jennings,ANKLE,QUESTIONABLE,,Chicago Bears
12/21/14,LB,Shea McClellin,ANKLE,PROBABLE,,Chicago Bears
12/21/14,DT,Will Sutton,ILLNESS,QUESTIONABLE,,Chicago Bears
12/15/14,T,Michael Ola,BACK,QUESTIONABLE,,Chicago Bears
12/15/14,DE,Cornelius Washington,ANKLE,QUESTIONABLE,,Chicago Bears
12/04/14,TE,Martellus Bennett,FOOT,PROBABLE,,Chicago Bears
12/04/14,WR,Alshon Jeffery,HAMSTRING,QUESTIONABLE,,Chicago Bears
12/04/14,DE,Trevor Scott,KNEE,PROBABLE,,Chicago Bears
12/04/14,WR,Chris Williams,HAMSTRING,&nbsp;,,Chicago Bears
11/27/14,G,Eben Britton,ILLNESS,PROBABLE,,Chicago Bears
11/27/14,T,Jordan Mills,RIBS,PROBABLE,,Chicago Bears
11/27/14,S,Brock Vereen,SHOULDER,PROBABLE,,Chicago Bears
11/26/14,C,Brian de la Puente,ANKLE,&nbsp;,,Chicago Bears
11/23/14,CB,Demontre Hurst,KNEE,QUESTIONABLE,,Chicago Bears
11/23/14,WR,Josh Morgan,SHOULDER,PROBABLE,,Chicago Bears
11/16/14,CB,Terrance Mitchell,ILLNESS,PROBABLE,,Chicago Bears
11/09/14,LB,Jonathan Bostic,BACK,PROBABLE,,Chicago Bears
11/09/14,S,Danny McCray,KNEE,PROBABLE,,Chicago Bears
10/19/14,T,Jermon Bushrod,"KNEE, ANKLE",PROBABLE,,Chicago Bears
10/19/14,S,Ahmad Dixon,HAMSTRING,PROBABLE,,Chicago Bears
10/19/14,CB,Sherrick McManis,"QUADRICEPS, KNEE",PROBABLE,,Chicago Bears
10/13/14,G,Taylor Boggs,HAMSTRING,&nbsp;,,Chicago Bears
10/12/14,C,Roberto Garza,ANKLE,PROBABLE,,Chicago Bears
09/28/14,S,Ryan Mundy,SHOULDER,PROBABLE,,Chicago Bears
01/04/15,WR,A.J. Green,CONCUSSION,DOUBTFUL,Missed Wild Card game at Indianapolis,Cincinnati Bengals
01/04/15,TE,Jermaine Gresham,BACK,QUESTIONABLE,Missed Wild Card game at Indianapolis,Cincinnati Bengals
