Date,Pos,Player,Injury,NFL Status,Fantasy News
01/11/15,RB,Juwan Thompson,"HIP, KNEE",PROBABLE,Missed Divisional Playoff game vs. Indianapolis
01/11/15,DT,Mitch Unrein,KNEE,QUESTIONABLE,Missed Divisional Playoff game vs. Indianapolis
01/11/15,S,T.J. Ward,NECK,PROBABLE,
01/11/15,CB,Kayvon Webster,SHOULDER,PROBABLE,
12/28/14,RB,C.J. Anderson,ANKLE,PROBABLE,
12/28/14,LB,Lamin Barrow,ILLNESS,PROBABLE,
12/28/14,T,Ryan Clady,THIGH,PROBABLE,
12/28/14,T,Chris Clark,BACK,PROBABLE,
12/28/14,RB,Ronnie Hillman,FOOT,PROBABLE,
12/28/14,C,Manny Ramirez,ILLNESS,PROBABLE,
12/28/14,WR,Emmanuel Sanders,HIP,QUESTIONABLE,
12/28/14,TE,Jacob Tamme,FOOT,PROBABLE,
12/28/14,DE,Derek Wolfe,KNEE,PROBABLE,
12/22/14,WR,Cody Latimer,CONCUSSION,PROBABLE,
12/14/14,DE,Malik Jackson,KNEE,PROBABLE,
12/14/14,WR,Wes Welker,ANKLE,PROBABLE,
12/07/14,DT,Terrance Knighton,ELBOW,QUESTIONABLE,
12/07/14,LB,Lerentee McCray,ILLNESS,PROBABLE,
11/30/14,TE,Virgil Green,CALF,PROBABLE,
11/23/14,P,Britton Colquitt,ILLNESS,PROBABLE,
11/23/14,LB,Steven Johnson,ANKLE,PROBABLE,
11/09/14,K,Brandon McManus,RIGHT GROIN,PROBABLE,
11/02/14,CB,Omar Bolden,CONCUSSION,PROBABLE,
11/02/14,CB,Chris Harris Jr.,KNEE,PROBABLE,
11/02/14,G,Louis Vasquez,ILLNESS,PROBABLE,
10/19/14,LB,Corey Nelson,HAMSTRING,PROBABLE,
10/12/14,WR,Andre Caldwell,KNEE,PROBABLE,
10/12/14,T,Michael Schofield,NOT INJURY RELATED,PROBABLE,
09/21/14,DT,Marvin Austin Jr.,NOT INJURY RELATED,PROBABLE,
09/21/14,G,Ben Garland,ANKLE,PROBABLE,
09/21/14,LB,Von Miller,GROIN,PROBABLE,
09/14/14,DE,DeMarcus Ware,THIGH,PROBABLE,
09/07/14,WR,Isaiah Burse,ILLNESS,PROBABLE,
Date,Pos,Player,Injury,NFL Status,Fantasy News
